Timestamp,ExtPressure (kPa),IntPressure (kPa),Temp (C),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
956,125.26,102.37,10.99,0.312,0.596,-0.734,-8.057,2.625,-2.136
1035,126.45,102.37,11.03,0.369,0.593,-0.724,0.305,3.784,3.296
1114,124.30,102.37,11.09,0.330,0.609,-0.725,7.996,2.136,5.432
1194,126.45,102.37,11.11,0.347,0.629,-0.693,-5.859,-2.930,-0.854
1273,126.45,102.37,11.13,0.356,0.588,-0.755,6.958,10.559,9.766
1352,127.17,102.37,11.14,0.308,0.655,-0.663,1.526,3.845,4.028
1431,125.02,102.37,11.15,0.332,0.598,-0.745,-5.615,-8.118,-1.282
1523,124.30,102.37,11.17,0.383,0.610,-0.694,-3.113,-2.808,-4.944
1602,126.69,102.37,11.18,0.347,0.583,-0.731,1.221,11.169,10.925
1681,126.21,102.37,11.18,0.348,0.610,-0.691,4.761,-3.662,-1.221
1760,126.45,102.37,11.19,0.359,0.599,-0.724,3.662,0.793,-1.343
1839,124.54,102.37,11.19,0.336,0.608,-0.712,-1.892,-0.671,6.775
1918,126.45,102.37,11.20,0.353,0.599,-0.714,3.052,-3.601,1.221
1997,126.93,102.37,11.20,0.358,0.611,-0.684,4.395,0.610,3.174
2076,126.69,102.37,11.20,0.347,0.612,-0.702,-4.578,-1.587,3.418
2168,124.54,102.37,11.21,0.366,0.594,-0.718,-2.136,-1.221,-0.122
2247,127.41,102.37,11.21,0.383,0.593,-0.709,9.521,-0.061,0.732
2326,126.45,102.37,11.21,0.357,0.632,-0.658,5.493,13.245,6.470
2405,126.45,102.37,11.21,0.319,0.600,-0.726,-11.902,4.700,10.071
2484,123.82,102.37,11.21,0.361,0.590,-0.727,4.883,-0.549,-6.470
2563,125.26,102.37,11.22,0.329,0.618,-0.680,9.766,0.916,0.000
2642,126.45,102.37,11.22,0.328,0.610,-0.691,-6.897,0.610,5.737
2721,124.54,102.37,11.22,0.349,0.595,-0.729,-3.540,0.916,4.822
2813,123.58,102.37,11.22,0.334,0.605,-0.709,1.892,2.258,0.549
2892,124.78,102.37,11.22,0.357,0.607,-0.698,-0.610,-1.282,-2.502
2971,126.93,102.37,11.22,0.336,0.584,-0.727,-3.052,-4.089,4.944
3050,125.98,102.37,11.23,0.399,0.597,-0.699,6.775,-0.427,-2.319
